AC   MIPF0000015
ID   MIR399
MI   MI0000664  osa-MIR160b
MI   MI0000665  osa-MIR160c
MI   MI0000666  osa-MIR160d
MI   MI0001100  osa-MIR160e
MI   MI0001101  osa-MIR160f
MI   MI0001465  zma-MIR160a
MI   MI0001466  zma-MIR160c
MI   MI0001467  zma-MIR160d
MI   MI0001468  zma-MIR160b
MI   MI0001479  zma-MIR160e
MI   MI0001507  sbi-MIR160d
MI   MI0001508  sbi-MIR160a
MI   MI0001509  sbi-MIR160c
MI   MI0001510  sbi-MIR160b
MI   MI0001511  sbi-MIR160e
MI   MI0001739  mtr-MIR160
MI   MI0001774  gma-MIR160
MI   MI0001848  zma-MIR160f
MI   MI0002201  ptc-MIR160a
MI   MI0002202  ptc-MIR160b
MI   MI0002203  ptc-MIR160c
MI   MI0002204  ptc-MIR160d
MI   MI0002205  ptc-MIR160e
MI   MI0002206  ptc-MIR160f
MI   MI0002207  ptc-MIR160g
MI   MI0002208  ptc-MIR160h
//
AC   MIPF0000033
ID   mir-10
MI   MI0000130  dme-mir-10
MI   MI0000221  mmu-mir-10b
MI   MI0000266  hsa-mir-10a
MI   MI0000267  hsa-mir-10b
MI   MI0000685  mmu-mir-10a
MI   MI0000841  rno-mir-10a
MI   MI0000842  rno-mir-10b
MI   MI0001216  gga-mir-10b
MI   MI0001307  dps-mir-10
MI   MI0001363  dre-mir-10a
MI   MI0001364  dre-mir-10b-1
MI   MI0001602  aga-mir-10
MI   MI0001887  dre-mir-10b-2
MI   MI0001888  dre-mir-10c
MI   MI0001889  dre-mir-10d-1
MI   MI0001890  dre-mir-10d-2
MI   MI0002788  ggo-mir-10a
MI   MI0002789  ppy-mir-10a
MI   MI0002790  sla-mir-10a
MI   MI0002791  age-mir-10a
MI   MI0002792  ppa-mir-10a
MI   MI0002793  ggo-mir-10b
MI   MI0002794  mne-mir-10b
MI   MI0002795  ppa-mir-10b
MI   MI0003279  fru-mir-10b-1
MI   MI0003280  tni-mir-10b-2
MI   MI0003297  fru-mir-10b-2
MI   MI0003298  tni-mir-10b-1
MI   MI0003449  fru-mir-10c
MI   MI0003450  tni-mir-10c
MI   MI0004796  xtr-mir-10a
MI   MI0004797  xtr-mir-10b
MI   MI0004798  xtr-mir-10c
MI   MI0004966  tni-mir-10d
MI   MI0004967  fru-mir-10d
MI   MI0004973  bmo-mir-10
MI   MI0005007  bta-mir-10a
MI   MI0005052  bta-mir-10b
MI   MI0005273  mdo-mir-10a
MI   MI0005274  mdo-mir-10b
//
AC   MIPF0000034
ID   mir-130
MI   MI0000156  mmu-mir-130a
MI   MI0000401  mmu-mir-301
MI   MI0000408  mmu-mir-130b
MI   MI0000448  hsa-mir-130a
MI   MI0000593  rno-mir-301
MI   MI0000745  hsa-mir-301
MI   MI0000748  hsa-mir-130b
MI   MI0000903  rno-mir-130a
MI   MI0000904  rno-mir-130b
MI   MI0001239  gga-mir-130b
MI   MI0001240  gga-mir-301
MI   MI0001241  gga-mir-130a
MI   MI0001984  dre-mir-130a-1
MI   MI0001985  dre-mir-130a-2
MI   MI0001986  dre-mir-130b
MI   MI0001987  dre-mir-130c-1
MI   MI0001988  dre-mir-130c-2
MI   MI0002059  dre-mir-301a-1
MI   MI0002060  dre-mir-301a-2
MI   MI0002061  dre-mir-301b
MI   MI0002062  dre-mir-301c
MI   MI0002432  ssc-mir-301
MI   MI0002524  mml-mir-130a
MI   MI0002525  ggo-mir-130a
MI   MI0002526  mne-mir-130a
MI   MI0002527  ppa-mir-130a
MI   MI0003309  fru-mir-301
MI   MI0003310  tni-mir-301
MI   MI0003311  fru-mir-130
MI   MI0003312  tni-mir-130
MI   MI0004122  mmu-mir-301b
MI   MI0004831  xtr-mir-130a
MI   MI0004832  xtr-mir-130c
MI   MI0004833  xtr-mir-130b
MI   MI0004876  xtr-mir-301-1
MI   MI0004877  xtr-mir-301-2
MI   MI0005295  mdo-mir-130a
//
AC   MIPF0000035
ID   MIR172
MI   MI0000215  ath-MIR172a
MI   MI0000216  ath-MIR172b
MI   MI0000991  ath-MIR172c
MI   MI0000992  ath-MIR172d
MI   MI0001089  ath-MIR172e
MI   MI0001139  osa-MIR172a
MI   MI0001140  osa-MIR172b
MI   MI0001141  osa-MIR172c
MI   MI0001154  osa-MIR172d
MI   MI0001493  zma-MIR172a
MI   MI0001494  zma-MIR172d
MI   MI0001495  zma-MIR172b
MI   MI0001496  zma-MIR172c
MI   MI0001501  sbi-MIR172b
MI   MI0001502  sbi-MIR172c
MI   MI0001503  sbi-MIR172a
MI   MI0001568  sbi-MIR172e
MI   MI0001571  sbi-MIR172d
MI   MI0001780  gma-MIR172a
MI   MI0001781  gma-MIR172b
MI   MI0001840  zma-MIR172e
MI   MI0002287  ptc-MIR172a
MI   MI0002288  ptc-MIR172b
MI   MI0002289  ptc-MIR172c
MI   MI0002290  ptc-MIR172d
MI   MI0002291  ptc-MIR172e
MI   MI0002292  ptc-MIR172f
MI   MI0002293  ptc-MIR172g
MI   MI0002294  ptc-MIR172h
//
AC   MIPF0000036
ID   mir-27
MI   MI0000085  hsa-mir-27a
MI   MI0000142  mmu-mir-27b
MI   MI0000440  hsa-mir-27b
MI   MI0000578  mmu-mir-27a
MI   MI0000859  rno-mir-27b
MI   MI0000860  rno-mir-27a
MI   MI0001274  gga-mir-27b
MI   MI0001928  dre-mir-27a
MI   MI0001929  dre-mir-27b
MI   MI0001930  dre-mir-27c
MI   MI0001931  dre-mir-27d
MI   MI0001932  dre-mir-27e
MI   MI0002442  ssc-mir-27a
MI   MI0003036  ggo-mir-27a
MI   MI0003039  age-mir-27a
MI   MI0003041  ppa-mir-27a
MI   MI0003044  lca-mir-27a
MI   MI0003046  ppy-mir-27a
MI   MI0003049  ptr-mir-27a
MI   MI0003052  mml-mir-27a
MI   MI0003055  sla-mir-27a
MI   MI0003057  mne-mir-27a
MI   MI0003267  fru-mir-27b
MI   MI0003268  tni-mir-27b
MI   MI0003417  fru-mir-27e
MI   MI0003418  tni-mir-27e
MI   MI0003431  fru-mir-27c
MI   MI0003432  tni-mir-27c
MI   MI0004746  bta-mir-27a
MI   MI0004760  bta-mir-27b
MI   MI0004809  xtr-mir-27a
MI   MI0004810  xtr-mir-27b
MI   MI0004916  xtr-mir-27c-1
MI   MI0004917  xtr-mir-27c-2
MI   MI0005364  mdo-mir-27a
MI   MI0005367  mdo-mir-27b
//
AC   MIPF0000037
ID   MIR169_2
MI   MI0000212  ath-MIR169a
MI   MI0000679  osa-MIR169a
MI   MI0000976  ath-MIR169b
MI   MI0000977  ath-MIR169c
MI   MI0000978  ath-MIR169d
MI   MI0000979  ath-MIR169e
MI   MI0000980  ath-MIR169f
MI   MI0000981  ath-MIR169g
MI   MI0001117  osa-MIR169b
MI   MI0001118  osa-MIR169c
MI   MI0001473  zma-MIR169a
MI   MI0001474  zma-MIR169b
MI   MI0001515  sbi-MIR169b
MI   MI0001516  sbi-MIR169a
MI   MI0001741  mtr-MIR169a
MI   MI0001742  mtr-MIR169b
MI   MI0001791  gma-MIR169
MI   MI0001826  zma-MIR169c
MI   MI0002245  ptc-MIR169a
MI   MI0002252  ptc-MIR169b
MI   MI0002253  ptc-MIR169c
MI   MI0002254  ptc-MIR169d
MI   MI0002256  ptc-MIR169f
MI   MI0002257  ptc-MIR169g
MI   MI0002258  ptc-MIR169h
MI   MI0002269  ptc-MIR169s
MI   MI0002276  ptc-MIR169z
//
AC   MIPF0000038
ID   mir-1
MI   MI0000003  cel-mir-1
MI   MI0000116  dme-mir-1
MI   MI0000139  mmu-mir-1-1
MI   MI0000249  mmu-mir-206
MI   MI0000437  hsa-mir-1-2
MI   MI0000490  hsa-mir-206
MI   MI0000493  cbr-mir-1
MI   MI0000651  hsa-mir-1-1
MI   MI0000652  mmu-mir-1-2
MI   MI0000948  rno-mir-206
MI   MI0001196  gga-mir-1a-2
MI   MI0001207  gga-mir-206
MI   MI0001247  gga-mir-1a-1
MI   MI0001254  gga-mir-1b
MI   MI0001289  dps-mir-1
MI   MI0001575  ame-mir-1
MI   MI0001601  aga-mir-1
MI   MI0001877  dre-mir-1-2
MI   MI0001878  dre-mir-1-1
MI   MI0002045  dre-mir-206-1
MI   MI0002046  dre-mir-206-2
MI   MI0002619  ppy-mir-206
MI   MI0002620  mne-mir-206
MI   MI0002930  ppa-mir-1
MI   MI0003423  fru-mir-1
MI   MI0003424  tni-mir-1
MI   MI0003489  rno-mir-1
MI   MI0004788  xtr-mir-1a-2
MI   MI0004789  xtr-mir-1a-1
MI   MI0004863  xtr-mir-206
MI   MI0004890  xtr-mir-1b
MI   MI0004969  bmo-mir-1
MI   MI0005269  mdo-mir-1
MI   MI0005317  mdo-mir-206
//
AC   MIPF0000039
ID   mir-34
MI   MI0000005  cel-mir-34
MI   MI0000268  hsa-mir-34a
MI   MI0000371  dme-mir-34
MI   MI0000403  mmu-mir-34c
MI   MI0000404  mmu-mir-34b
MI   MI0000494  cbr-mir-34
MI   MI0000584  mmu-mir-34a
MI   MI0000742  hsa-mir-34b
MI   MI0000743  hsa-mir-34c
MI   MI0000875  rno-mir-34b
MI   MI0000876  rno-mir-34c
MI   MI0000877  rno-mir-34a
MI   MI0001251  gga-mir-34a
MI   MI0001260  gga-mir-34b
MI   MI0001261  gga-mir-34c
MI   MI0001317  dps-mir-34
MI   MI0001365  dre-mir-34
MI   MI0002796  ggo-mir-34a
MI   MI0002797  age-mir-34a
MI   MI0002798  ppa-mir-34a
MI   MI0002799  ppy-mir-34a
MI   MI0002800  ptr-mir-34a
MI   MI0002801  mml-mir-34a
MI   MI0002802  sla-mir-34a
MI   MI0002803  lla-mir-34a
MI   MI0002804  mne-mir-34a
MI   MI0003690  dre-mir-34b
MI   MI0004763  bta-mir-34b
MI   MI0004774  dre-mir-34c
MI   MI0004816  xtr-mir-34a
MI   MI0004817  xtr-mir-34b-2
MI   MI0004818  xtr-mir-34b-4
MI   MI0004924  xtr-mir-34b-3
MI   MI0004925  xtr-mir-34b-1
MI   MI0004975  bmo-mir-34
MI   MI0005068  bta-mir-34c
MI   MI0005280  mdo-mir-34a
//
